"Sr. No.","State Name","Hon'ble Member Of Parliament","Constituency","Allocated Amount ( ₹ )"
"425","Madhya Pradesh","Shankar Lalwani","INDORE","9,80,00,000"
"426","Uttar Pradesh","SHASHANK MANI","DEORIA","9,80,00,000"
"427","West Bengal","Shatrughan Sinha","ASANSOL","9,80,00,000"
"428","Punjab","SHER SINGH GHUBAYA","FIROZPUR","9,80,00,000"
"429","Madhya Pradesh","SHIVMANGAL SINGH TOMAR","MORENA","9,80,00,000"
"430","Madhya Pradesh","SHIVRAJ SINGH CHOUHAN","VIDISHA","9,80,00,000"
"431","Karnataka","SHOBHA KARANDLAJE","BANGALORE NORTH","9,80,00,000"
"432","Gujarat","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","9,80,00,000"
"433","Karnataka","SHREYAS. M. PATEL","HASSAN","9,80,00,000"
"434","Haryana","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","9,80,00,000"
"435","West Bengal","Shri Abhishek Banerjee","DIAMOND HARBOUR","9,80,00,000"
"436","Punjab","Shri Amar Singh","FATEHGARH SAHIB(SC)","9,80,00,000"
"437","Gujarat","Shri Amit Shah","GANDHINAGAR","9,80,00,000"
"438","Madhya Pradesh","Shri Anil Firojiya","UJJAIN(SC)","9,80,00,000"
"439","Rajasthan","Shri Arjun Ram Meghwal","BIKANER(SC)","9,80,00,000"
"440","Uttar Pradesh","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","9,80,00,000"
"441","Karnataka","Shri B Y Raghavendra","SHIMOGA","9,80,00,000"
"442","Kerala","Shri Benny Behanan","CHALAKUDY","9,80,00,000"
"443","Odisha","Shri Bhartruhari Mahtab","CUTTACK","9,80,00,000"
"444","Jharkhand","Shri Chandra Prakash Choudhary","GIRIDIH","9,80,00,000"
"445","West Bengal","Shri Deepak (Dev) Adhikari","GHATAL","15,17,47,364"
"446","Punjab","Shri Gurjeet Singh Aujla","AMRITSAR","9,80,00,000"
"447","Rajasthan","Shri Hanuman Beniwal","NAGAUR","9,80,00,000"
"448","Kerala","Shri Hibi Eden","ERNAKULAM","9,80,00,000"
"449","Bihar","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","9,80,00,000"
"450","Odisha","Shri Jual Oram","SUNDARGARH (ST)","12,40,96,756.91"
"451","Jammu And Kashmir","Shri Jugal Kishore Sharma","JAMMU","9,80,00,000"
"452","West Bengal","Shri Jyotirmay Singh Mahato","PURULIA","9,80,00,000"
"453","Tamil Nadu","Shri Karti P Chidambaram","SIVAGANGA","11,00,49,284.11"
"454","Kerala","Shri Kumbakudi Sudhakaran","KANNUR","9,80,00,000"
"455","Karnataka","Shri LS Tejasvi Surya","BANGALORE SOUTH","9,80,00,000"
"456","Kerala","Shri M K Raghavan","KOZHIKODE","9,80,00,000"
"457","Uttar Pradesh","Shri Narendra Modi","VARANASI","11,30,70,276.11"
"458","Kerala","Shri NK Premachandran","KOLLAM","12,24,77,994.11"
"459","Rajasthan","Shri PP Chaudhary","PALI","9,80,00,000"
"460","Kerala","Shri Rajmohan Unnithan","KASARAGOD","9,80,00,000"
"461","Assam","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","9,80,00,000"
"462","Uttar Pradesh","Shri Satish Kumar Gautam","ALIGARH","9,80,00,000"
"463","West Bengal","Shri Shantanu Thakur","BANGAON(SC)","9,80,00,000"
"464","Madhya Pradesh","Shri Sudheer Gupta","MANDSOUR","9,99,88,014.83"
