"Sr. No.","State","Work","Vendor Name","IDA","Hon'ble Member Of Parliament","Expenditure Date","Constituency","Work Status","Work Id","Fund Disbursed Amount ( ₹ )"
"5552","Odisha","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","PRABIN KUMAR NAIK","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","18-Oct-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145377","4,60,014"
"5553","Odisha","Construction of community centers and community halls","Manas Ranjan Das Kanungo","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","11-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145447","5,00,000"
"5554","Odisha","Construction of community centers and community halls","MEMBER SECY OB AND OC WWB BBSR","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","5,000"
"5555","Telangana","Street lights","DORNALA ANJAIAH","NALGONDA(DISTRICT COLLECTOR NALGONDA)","CHAMALA KIRAN KUMAR REDDY","02-Apr-2025","BHONGIR","Payment Success","WS/MP18338/2024-2025/148410","1,99,812"
"5556","Telangana","Street lights","DORNALA ANJAIAH","NALGONDA(DISTRICT COLLECTOR NALGONDA)","CHAMALA KIRAN KUMAR REDDY","21-Mar-2025","BHONGIR","Payment Success","WS/MP18338/2024-2025/148445","99,906"
"5557","Jharkhand","Street lights","JUNIOR ENGINEER RDSD BOKARO","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","16-Jul-2025","GIRIDIH","Payment Success","WS/MP334/2024-2025/143362","1,44,000"
"5558","Tamil Nadu","Construction of rooms and halls in school and colleges","ANNADURAI E","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","05-Jul-2025","PERAMBALUR","Payment Success","WS/MP18180/2025-2026/143525","22,11,213"
"5559","Uttar Pradesh","Lighting of public spaces","J B ENTERPRISES","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","22-Apr-2025","BANDA","Payment Success","WS/MP18206/2024-2025/144219","2,26,584"
"5560","Uttar Pradesh","Lighting of public spaces","J B ENTERPRISES","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","22-Apr-2025","BANDA","Payment Success","WS/MP18206/2024-2025/144220","2,26,584"
"5561","Uttar Pradesh","Lighting of public spaces","J B ENTERPRISES","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","06-Feb-2025","BANDA","Payment Success","WS/MP18206/2024-2025/144212","2,26,584"
"5562","Uttar Pradesh","Lighting of public spaces","J B ENTERPRISES","CHITRAKOOT(DISTRICT MAGISTRATE CHITRAKOOT_IDA)","KRISHNA DEVI SHIVSHANKER PATEL","22-Apr-2025","BANDA","Payment Success","WS/MP18206/2024-2025/144225","2,26,584"
"5563","Uttar Pradesh","Street lights","SHRI SAI ENGINEERING WORKS","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","SANATAN PANDEY","24-Mar-2025","BALLIA","Payment Success","WS/MP18205/2024-2025/148723","2,16,296"
"5564","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","KHONDEKAR JASIM UDDIN","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","12-Feb-2026","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/141389","3,55,907"
"5565","Tamil Nadu","Construction of public toilets and bathrooms","SAKADEVAN C","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","16-Oct-2025","TIRUPPUR","Payment Success","WS/MP745/2025-2026/141431","9,99,902"
"5566","West Bengal","Lighting of public spaces","CCM ENTERPRISE","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","10-Oct-2025","KOLKATA DAKSHIN","Payment Success","WS/MP484/2024-2025/145610","9,83,015"
"5567","West Bengal","Street lights","R S Enterprise","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","06-Aug-2025","KOLKATA DAKSHIN","Payment Success","WS/MP484/2024-2025/145617","9,52,681"
"5568","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","AKREETI CONSTRUCTION","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","13-Jan-2026","KOLKATA DAKSHIN","Payment Success","WS/MP484/2024-2025/145680","14,98,872"
"5569","West Bengal","Street lights","SK JAHANGIR","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","24-Jan-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/144000","5,78,914"
"5570","West Bengal","Street lights","SK JAHANGIR","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","13-Jan-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/144037","11,57,828"
"5571","Tamil Nadu","Lighting of public spaces","RAMACHANDRA ELECTRICALS AND ENGINEERING STORES","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K Subbarayan","09-May-2025","TIRUPPUR","Payment Success","WS/MP745/2024-2025/141294","5,30,014"
"5572","Maharashtra","Providing sports equipment, except consumable items","ASHUTOSH HANUMANT BALKAVADE","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shrirang Appa Barne","22-Apr-2025","MAVAL","Payment Success","WS/MP685/2024-2025/143367","9,96,227"
"5573","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5574","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5575","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5576","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5577","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5578","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5579","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5580","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5581","Bihar","Street lights","R K Construction","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","16-Jun-2025","PURNEA","Payment Success","WS/MP18041/2024-2025/143141","8,50,000"
"5582","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","NARAYAN DAS AHIRWAR","06-Aug-2025","JALAUN(SC)","Payment Success","WS/MP18221/2024-2025/141005","2,11,299"
"5583","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","NARAYAN DAS AHIRWAR","06-Aug-2025","JALAUN(SC)","Payment Success","WS/MP18221/2024-2025/141007","2,11,299"
"5584","Uttar Pradesh","Lighting of public spaces","shyam swaroop manufacturere","JHANSI(DISTRICT MAGISTRAE JHANSI_IDA)","NARAYAN DAS AHIRWAR","06-Jan-2026","JALAUN(SC)","Payment Success","WS/MP18221/2024-2025/141013","2,11,299"
"5585","Bihar","Street lights","R K Construction","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","18-Feb-2025","PURNEA","Payment Success","WS/MP18041/2024-2025/143092","8,50,000"
"5586","Bihar","Street lights","R K Construction","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","27-Mar-2025","PURNEA","Payment Success","WS/MP18041/2024-2025/143125","8,50,000"
"5587","Bihar","Street lights","R K Construction","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","16-Jun-2025","PURNEA","Payment Success","WS/MP18041/2024-2025/143143","8,50,000"
"5588","Bihar","Street lights","R K Construction","PURNIA(DISTRICT PLANNING OFFICER PURNIA_IDA)","RAJESH RANJAN ALIAS PAPPU YADAV","16-Jun-2025","PURNEA","Payment Success","WS/MP18041/2024-2025/143144","8,50,000"
"5589","Karnataka","Construction of bus-sheds or bus-stops","LOKESH C N","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","DR C N MANJUNATH","20-Jan-2026","BANGALORE RURAL","Payment Success","WS/MP18076/2025-2026/145724","4,99,204"
"5590","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","VC MIPUI THAWHLAWM","KOLASIB(Deputy Commissioner Kolasib)","RICHARD VANLALHMANGAIHA","30-May-2025","MIZORAM (ST)","Payment Success","WS/MP18138/2024-2025/143330","2,25,000"
"5591","Mizoram","Construction of common work sheds/ common covered sitting area","MHIP PHAINUAM BRANCH","KOLASIB(Deputy Commissioner Kolasib)","RICHARD VANLALHMANGAIHA","12-Dec-2025","MIZORAM (ST)","Payment Success","WS/MP18138/2024-2025/143306","1,25,000"
"5592","Mizoram","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","MHIP SAIHAPUI V BRANCH","KOLASIB(Deputy Commissioner Kolasib)","RICHARD VANLALHMANGAIHA","17-Feb-2025","MIZORAM (ST)","Payment Success","WS/MP18138/2024-2025/143307","1,87,500"
"5593","Mizoram","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","MHIP SAIHAPUI V BRANCH","KOLASIB(Deputy Commissioner Kolasib)","RICHARD VANLALHMANGAIHA","12-Dec-2025","MIZORAM (ST)","Payment Success","WS/MP18138/2024-2025/143307","62,500"
"5594","Assam","Construction of buildings for community cultural activities","DURGA ENTERPRISE","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","27-Aug-2025","GUWAHATI","Payment Success","WS/MP18023/2024-2025/144134","1,35,653"
"5595","Assam","Construction of buildings for community cultural activities","DURGA ENTERPRISE","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","05-Sep-2025","GUWAHATI","Payment Success","WS/MP18023/2024-2025/144134","66,150"
"5596","Assam","Construction of buildings for community cultural activities","DURGA ENTERPRISE","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","24-Sep-2025","GUWAHATI","Payment Success","WS/MP18023/2024-2025/144134","2,00,019"
"5597","Assam","Construction of buildings for community cultural activities","DURGA ENTERPRISE","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","27-Oct-2025","GUWAHATI","Payment Success","WS/MP18023/2024-2025/144134","77,490"
"5598","Assam","Construction of community centers and community halls","Jyoti Prasad Thakuria","KAMRUP(DEPUTY COMMISSIONER KAMRUP_IDA)","BIJULI KALITA MEDHI","04-Jul-2025","GUWAHATI","Payment Success","WS/MP18023/2024-2025/143873","1,25,000"
"5599","Rajasthan","Improvement of electricity distribution infrastructure","AEN O N M AVVNL","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","17-Dec-2024","NAGAUR","Payment Success","WS/MP386/2024-2025/144925","67,998"
"5600","Rajasthan","Improvement of electricity distribution infrastructure","AEN O N M AVVNL","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","17-Dec-2024","NAGAUR","Payment Success","WS/MP386/2024-2025/144931","69,000"
"5601","Rajasthan","Improvement of electricity distribution infrastructure","AEN O N M AVVNL","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","17-Dec-2024","NAGAUR","Payment Success","WS/MP386/2024-2025/144967","77,900"
"5602","Rajasthan","Improvement of electricity distribution infrastructure","AEN O N M AVVNL","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","17-Dec-2024","NAGAUR","Payment Success","WS/MP386/2024-2025/144970","2,33,000"
"5603","Rajasthan","Construction of community centers and community halls","GP KHADKALI","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","17-Jan-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142403","9,99,740"
"5604","Rajasthan","Construction of water tanks","R B TRADING COMPANY","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","13-Oct-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142424","63,747"
"5605","Rajasthan","Construction of water tanks","GRAM PANCHAYAT OLADAN","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","30-Oct-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142424","36,115"
"5606","Rajasthan","Construction of community centers and community halls","R N TRADING COMPANY","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","22-Dec-2024","NAGAUR","Payment Success","WS/MP386/2024-2025/142426","8,00,000"
"5607","Rajasthan","Construction of community centers and community halls","R N TRADING COMPANY","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","13-Oct-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142426","1,14,300"
"5608","Rajasthan","Construction of community centers and community halls","BHATIYON KI DHANI","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","13-Oct-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142426","3,10,699"
"5609","West Bengal","Street lights","SK JAHANGIR","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","24-Jan-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/144008","5,78,914"
"5610","Maharashtra","Providing sports equipment, except consumable items","ASHUTOSH HANUMANT BALKAVADE","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Shrirang Appa Barne","16-Sep-2025","MAVAL","Payment Success","WS/MP685/2025-2026/143374","9,96,226"
"5611","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","MAHIYAL GRAM PANCHAYAT","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","20-Feb-2025","SABARKANTHA","Payment Success","WS/MP18321/2024-2025/143692","3,00,000"
"5612","West Bengal","Street lights","SK JAHANGIR","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","28-Jan-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/144003","5,78,914"
"5613","West Bengal","Construction of boundary walls of existing public and community buildings","ALAMGIR SK","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","21-Feb-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/143938","2,23,682"
"5614","West Bengal","Construction of boundary walls of existing public and community buildings","ALAMGIR SK","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","21-Apr-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/143938","2,75,706"
"5615","West Bengal","Construction of boundary walls of existing public and community buildings","CHANCHAL KR ROY","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","06-Nov-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/143942","4,98,605"
"5616","West Bengal","Construction of boundary walls of existing public and community buildings","SANIA CONSTRUCTION","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Asit Kumar Mal","20-May-2025","BOLPUR(SC)","Payment Success","WS/MP858/2024-2025/143943","6,60,697"
"5617","Uttar Pradesh","Installing hand pumps","MS BARE LAL","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","23-May-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144354","44,347"
"5618","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5619","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5620","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5621","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5622","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5623","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5624","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5625","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5626","Odisha","Construction of community centers and community halls","TAHASILDAR BARGAON","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","22,896"
"5627","Odisha","Construction of community centers and community halls","BDO BARGAON EGB MONEY","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","549"
"5628","Odisha","Construction of community centers and community halls","BDO BARGAON WITH HELD MONEY","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","10,000"
"5629","Odisha","Construction of community centers and community halls","JAGANNATH MUNDA","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","4,61,066"
"5630","Odisha","Construction of community centers and community halls","B D O BARGAON","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","409"
"5631","Odisha","Construction of community centers and community halls","B D O BARGAON","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","22-Jul-2025","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145452","80"
"5632","Odisha","Construction of bus-sheds or bus-stops","Sushanta Patel","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","10-Feb-2026","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145540","7,00,000"
"5633","Odisha","Construction of community centers and community halls","PUNAM RASHID KHAN","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Shri Jual Oram","29-Jan-2026","SUNDARGARH (ST)","Payment Success","WS/MP370/2024-2025/145382","5,00,000"
"5634","Chhattisgarh","Purchase of IT systems, including hardware and software for educational purposes","Bagalamukhi Enterprises Private Limited","SURGUJA(Collector Surguja_IDA)","CHINTAMANI MAHARAJ","04-Feb-2025","SARGUJA(ST)","Payment Success","WS/MP18354/2024-2025/138489","4,99,500"
"5635","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","21-Aug-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144600","44,349"
"5636","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","20-Dec-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144600","29,571"
"5637","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","21-May-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144605","44,349"
"5638","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","20-Dec-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144605","29,571"
"5639","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","21-May-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144696","44,349"
"5640","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","22-Dec-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144696","29,571"
"5641","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","21-May-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144602","44,349"
"5642","Uttar Pradesh","Installing hand pumps","MS GYANCHAND","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","20-Dec-2025","KAUSHAMBI(SC)","Payment Success","WS/MP18225/2024-2025/144602","29,571"
"5643","Rajasthan","Providing supply pipelines for drinking water","GRAM PANCHAYAT PAPASANI","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","02-Jul-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142447","2,24,807"
"5644","Rajasthan","Construction of rooms and halls in school and colleges","SDMC GPS BAMANIYAWALA","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","01-Oct-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142450","1,60,000"
"5645","Himachal Pradesh","Construction of community centers and community halls","GP MASHGAN","KULLU(DEPUTY COMMISSIONER KULLU_IDA)","Kangana Ranaut","29-Apr-2025","MANDI","Payment Success","WS/MP18328/2024-2025/144162","1,50,000"
"5646","Rajasthan","Construction of rooms and halls in school and colleges","SDMC GOVT SCHOOL DESHWAL","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","22-Mar-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142422","7,50,000"
"5647","Rajasthan","Construction of rooms and halls in school and colleges","GRAM PANCHAYAT BIRLOKA","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","23-Feb-2026","NAGAUR","Payment Success","WS/MP386/2024-2025/142452","5,96,845"
"5648","Rajasthan","Street lights","GP PEEPLIYA","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","11-Jan-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142455","50,000"
"5649","Rajasthan","Street lights","GP PEEPLIYA","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","16-Sep-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142455","9,915"
"5650","Rajasthan","Construction of public libraries and reading rooms","gram panchayat khundala","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","12-Jan-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142487","7,00,000"
"5651","Rajasthan","Construction of public libraries and reading rooms","gram panchayat khundala","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","21-Feb-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142487","5,00,000"
"5652","Rajasthan","Construction of public libraries and reading rooms","gram panchayat khundala","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","10-Mar-2025","NAGAUR","Payment Success","WS/MP386/2024-2025/142487","2,99,450"
"5653","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5654","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","25-Nov-2024","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
"5655","Uttar Pradesh","Street lights","SHRI GURU KRIPA NARSINGH ASSOCIATES","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","NEERAJ MAURYA","02-Jan-2025","AONLA","Payment Success","WS/MP18201/2024-2025/141045","10,17,636"
