"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Member Of Parliament","Constituency","Completed Date","Image","Average Rating","FINAL AMOUNT ( ₹ )"
"48","Normal/Others","WS/MP18183/2024-2025/140748-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of new PDS building at Saraboji Nagar, Nilgiri Panchayat,thanjavur","MURASOLI S","THANJAVUR","23-Aug-2025","Images","N/A","13,03,191"
"49","Normal/Others","WS/MP18183/2024-2025/140765-Construction of community centers and community halls","Tamil Nadu","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Construction of new PDS building at Kannukudi South in Kannukudi West Panchayat,orathanadu","MURASOLI S","THANJAVUR","25-Aug-2025","Images","N/A","13,49,747"
"50","Normal/Others","WS/MP18183/2024-2025/140772-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of New PDS Building in Thenparai Panchayat,mannargudi,thiruvarur","MURASOLI S","THANJAVUR","20-Feb-2026","Images","N/A","11,86,136"
"51","Normal/Others","WS/MP18183/2025-2026/140773-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of New PDS Building at Bamani in Karnavur Panchayat,mannargudi,thiruvarur","MURASOLI S","THANJAVUR","11-Dec-2025","Images","N/A","13,47,131"
"52","Normal/Others","WS/MP18183/2025-2026/140775-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of New PDS Building in Pullavarayan kudikadu Panchayat,needamangalam, mannargudi","MURASOLI S","THANJAVUR","16-Feb-2026","N/A","N/A","13,08,423"
"53","Normal/Others","WS/MP429/2024-2025/141157-Construction of community centers and community halls","Chhattisgarh","KORBA(Collector-Korba)","Construction of Chhatdaar Manch in Gram Panchayat - Pahadgaon, Vikas Khand - Kartala","Jyotsna Charandas Mahant","KORBA","01-Apr-2025","Images","N/A","3,50,000"
"54","Normal/Others","WS/MP745/2025-2026/141314-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","gobi, ayalur uratchi, consraction of new building","K Subbarayan","TIRUPPUR","02-Dec-2025","Images","N/A","10,34,903"
"55","Normal/Others","WS/MP745/2025-2026/141315-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","gobi,kugalur-B,(pommanaayakkan palaiyam)consraction pf community hall at gobi","K Subbarayan","TIRUPPUR","02-Dec-2025","Images","N/A","60,00,000"
"56","Normal/Others","WS/MP457/2024-2025/141463-Construction of community centers and community halls","Tamil Nadu","VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA)","Fair Price Shop / Ration Shop in Kanai Colony of Kanai Panchayat, Viluppuram. Vikravandi Assembly Segment.","D Ravikumar","VILUPPURAM(SC)","17-Jul-2025","Images","N/A","9,78,693"
"57","Normal/Others","WS/MP18155/2024-2025/141568-Construction of community centers and community halls","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Repair of Janj Garh","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","24-Oct-2025","Images","N/A","2,00,000"
"58","Normal/Others","WS/MP18056/2024-2025/141634-Construction of community centers and community halls","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Construction of Community Halls at Schedule Caste Area at Village Kharachiya (Jam)","PARSHOTTAMBHAI RUPALA","RAJKOT","06-Feb-2026","N/A","N/A","8,38,978"
"59","Normal/Others","WS/MP18155/2024-2025/141708-Construction of community centers and community halls","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Construction of SC Dharmshala","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","10-Nov-2025","N/A","N/A","1,00,000"
"60","Normal/Others","WS/MP18155/2024-2025/141720-Construction of community centers and community halls","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Construction of Shed in front of Saran","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","28-Aug-2025","N/A","N/A","3,00,000"
"61","Normal/Others","WS/MP743/2025-2026/142089-Construction of community centers and community halls","Tamil Nadu","KANCHIPURAM(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Construction of New Building at Konerikuppam Panchayat, Kanchipuram Panchayat Union.","Ganesan Selvam","KANCHEEPURAM(SC)","19-Jan-2026","Images","N/A","9,44,811"
"62","Normal/Others","WS/MP386/2024-2025/142403-Construction of community centers and community halls","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of community hall in Dhani of Kaswa-Godara & Jetha Bhomiyaji Sthan of Village Khadkali","Shri Hanuman Beniwal","NAGAUR","24-Jul-2025","Images","N/A","9,99,740"
"63","Normal/Others","WS/MP386/2024-2025/142426-Construction of community centers and community halls","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Community Hall in Aabadi bhumi of Village Tado ki dhani (GP- Bhatiyo ki dhani )","Shri Hanuman Beniwal","NAGAUR","10-Nov-2025","Images","N/A","12,24,999"
"64","Normal/Others","WS/MP386/2024-2025/142451-Construction of community centers and community halls","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Construction of Community Hall in populated land Of Village Bamniyawala Near Bera","Shri Hanuman Beniwal","NAGAUR","14-Oct-2025","Images","N/A","9,99,988"
"65","Normal/Others","WS/MP719/2024-2025/142649-Construction of community centers and community halls","Rajasthan","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Construction of Open Community hall at tejaji's place in Barol village.","Bhagirath Chaudhary","AJMER","15-Dec-2024","Images","N/A","9,99,818"
"66","Normal/Others","WS/MP716/2024-2025/142662-Construction of community centers and community halls","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Construction of Public Shed","Smt Harsimrat Kaur Badal","BHATINDA","28-Dec-2025","Images","N/A","2,00,000"
"67","Normal/Others","WS/MP716/2024-2025/142663-Construction of community centers and community halls","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Construction of Public Shed","Smt Harsimrat Kaur Badal","BHATINDA","28-Dec-2025","Images","N/A","2,00,000"
"68","Normal/Others","WS/MP370/2024-2025/142708-Construction of community centers and community halls","Odisha","SUNDARGARH(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of Bathroom, Toilet, Kitchen and Dining Hall B-36, Sector-3, Rourkela (Executing Agency ITDA Panposh)","Shri Jual Oram","SUNDARGARH (ST)","21-Feb-2026","Images","N/A","7,80,000"
"69","Normal/Others","WS/MP18183/2025-2026/143383-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of New PDS Building Near Panchayat Council Office in Kannur Annavasal Panchayat ,needamangalam","MURASOLI S","THANJAVUR","16-Feb-2026","N/A","N/A","13,29,811"
